epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,24796,0.74842,0.744,1.06112,0.88268,0.83244,0.90684,0.70928,0.83244,0.66526,0.95382,0.00065845,0.00065845,0.00065845
71,24856.5,0.75214,0.74992,1.06311,0.89563,0.83339,0.91378,0.71263,0.84309,0.66195,0.9726,0.0006535,0.0006535,0.0006535
72,24917.6,0.75519,0.73741,1.06151,0.88958,0.84361,0.91221,0.6474,1.05228,0.68588,1.02377,0.00064855,0.00064855,0.00064855
73,24977.5,0.74674,0.73668,1.05703,0.8971,0.82691,0.91298,0.69116,0.91619,0.66981,0.98288,0.0006436,0.0006436,0.0006436
74,25035.2,0.75496,0.73854,1.05651,0.87797,0.83329,0.90211,0.68939,0.88696,0.71489,0.97677,0.00063865,0.00063865,0.00063865
75,25093.3,0.75159,0.73442,1.06264,0.89066,0.81315,0.90024,0.70639,0.81784,0.68981,0.95018,0.0006337,0.0006337,0.0006337
76,25150.8,0.74712,0.731,1.06015,0.90783,0.83899,0.91618,0.71153,0.86529,0.62641,0.95731,0.00062875,0.00062875,0.00062875
77,25208.5,0.74722,0.73385,1.05893,0.89115,0.83391,0.90572,0.72688,0.77179,0.64386,0.94562,0.0006238,0.0006238,0.0006238
78,25266.8,0.74242,0.72118,1.05898,0.89124,0.84143,0.91006,0.72669,0.78132,0.63426,0.94655,0.00061885,0.00061885,0.00061885
79,25324.9,0.75078,0.73053,1.05917,0.88527,0.85472,0.91475,0.69779,0.90589,0.64843,0.98304,0.0006139,0.0006139,0.0006139
80,25382.7,0.74265,0.72543,1.05674,0.88223,0.8346,0.91388,0.72632,0.79614,0.66668,0.95368,0.00060895,0.00060895,0.00060895
81,25440.6,0.74324,0.72125,1.05863,0.9052,0.85031,0.91609,0.73163,0.78504,0.60976,0.95633,0.000604,0.000604,0.000604
82,25498.3,0.73699,0.7142,1.05595,0.87247,0.85619,0.91276,0.72438,0.79115,0.64955,0.93229,0.00059905,0.00059905,0.00059905
83,25555.8,0.73236,0.70735,1.05211,0.90983,0.84366,0.91885,0.73246,0.80112,0.61902,0.93929,0.0005941,0.0005941,0.0005941
84,25614.2,0.74094,0.71541,1.05704,0.91166,0.84102,0.91427,0.72407,0.8119,0.61598,0.95535,0.00058915,0.00058915,0.00058915
85,25672,0.7383,0.71053,1.05374,0.90779,0.82555,0.91148,0.73262,0.78037,0.632,0.94818,0.0005842,0.0005842,0.0005842
86,25729.8,0.73644,0.71003,1.0568,0.88415,0.83466,0.90568,0.73895,0.72694,0.6459,0.94255,0.00057925,0.00057925,0.00057925
87,25787.7,0.7301,0.70254,1.05036,0.89652,0.83537,0.90718,0.72969,0.756,0.63418,0.94562,0.0005743,0.0005743,0.0005743
88,25846.6,0.73531,0.71218,1.05541,0.89645,0.86362,0.92322,0.74762,0.73761,0.61528,0.93849,0.00056935,0.00056935,0.00056935
89,25904.5,0.73398,0.70277,1.05088,0.90484,0.85224,0.91882,0.6964,0.94007,0.63176,0.98259,0.0005644,0.0005644,0.0005644
90,25962.4,0.72913,0.69575,1.05175,0.90485,0.82598,0.9139,0.73838,0.77441,0.64296,0.94847,0.00055945,0.00055945,0.00055945
91,26019.9,0.72579,0.6947,1.04948,0.9032,0.83725,0.9154,0.71954,0.83163,0.63307,0.96431,0.0005545,0.0005545,0.0005545
92,26078.5,0.72403,0.69212,1.04941,0.89146,0.8417,0.9081,0.71668,0.81587,0.63714,0.95359,0.00054955,0.00054955,0.00054955
93,26136.4,0.72653,0.69538,1.05121,0.89977,0.86877,0.92487,0.73628,0.78752,0.60157,0.95003,0.0005446,0.0005446,0.0005446
94,26194.1,0.71684,0.68776,1.04509,0.88468,0.86067,0.91614,0.70339,0.8953,0.63674,0.98218,0.00053965,0.00053965,0.00053965
95,26252.1,0.72785,0.68897,1.05003,0.90405,0.85806,0.92232,0.70615,0.925,0.62623,0.97873,0.0005347,0.0005347,0.0005347
96,26310.5,0.71765,0.67636,1.04289,0.9021,0.85161,0.92458,0.73072,0.82679,0.59862,0.94634,0.00052975,0.00052975,0.00052975
97,26368.4,0.71457,0.67134,1.04293,0.89972,0.8681,0.92567,0.74355,0.79068,0.58502,0.94081,0.0005248,0.0005248,0.0005248
98,26426.2,0.71065,0.67568,1.04148,0.90984,0.83161,0.91792,0.73887,0.78443,0.6058,0.95492,0.00051985,0.00051985,0.00051985
99,26483.9,0.71301,0.67065,1.04089,0.92308,0.85545,0.9287,0.74864,0.7509,0.58886,0.93958,0.0005149,0.0005149,0.0005149
100,26542.2,0.70722,0.67063,1.04224,0.89101,0.86471,0.92356,0.73956,0.79308,0.6054,0.95042,0.00050995,0.00050995,0.00050995
101,26600,0.71063,0.66857,1.0409,0.91059,0.84851,0.92399,0.74127,0.78241,0.59891,0.94331,0.000505,0.000505,0.000505
102,26658,0.70778,0.66628,1.04513,0.90473,0.83653,0.91844,0.75218,0.71896,0.61677,0.9287,0.00050005,0.00050005,0.00050005
103,26715.7,0.70749,0.6663,1.04171,0.90816,0.85212,0.91951,0.74502,0.76362,0.59913,0.93874,0.0004951,0.0004951,0.0004951
104,26774.1,0.71276,0.66266,1.04483,0.89395,0.85242,0.92008,0.747,0.75552,0.60926,0.93193,0.00049015,0.00049015,0.00049015
105,26832,0.712,0.66669,1.04382,0.90771,0.83282,0.91296,0.72994,0.78371,0.64153,0.94046,0.0004852,0.0004852,0.0004852
106,26890,0.70293,0.66022,1.0403,0.88558,0.86057,0.91812,0.73154,0.79554,0.61681,0.95508,0.00048025,0.00048025,0.00048025
107,26948.1,0.70864,0.65656,1.04013,0.90612,0.85764,0.91841,0.72724,0.82549,0.60252,0.9527,0.0004753,0.0004753,0.0004753
108,27006.1,0.70512,0.64552,1.04217,0.91193,0.83743,0.91669,0.73919,0.78983,0.6199,0.95183,0.00047035,0.00047035,0.00047035
109,27064.7,0.70185,0.64887,1.03768,0.87377,0.88029,0.92595,0.7261,0.85649,0.60498,0.95261,0.0004654,0.0004654,0.0004654
110,27122.9,0.69839,0.64829,1.03926,0.90112,0.84872,0.92014,0.74365,0.7855,0.58987,0.94118,0.00046045,0.00046045,0.00046045
111,27181.1,0.69296,0.64285,1.03663,0.89959,0.85921,0.92428,0.74557,0.76887,0.59491,0.94633,0.0004555,0.0004555,0.0004555
112,27239.3,0.69699,0.64946,1.04021,0.90916,0.85871,0.92614,0.73517,0.81538,0.57522,0.94421,0.00045055,0.00045055,0.00045055
113,27298.6,0.69288,0.64395,1.03579,0.90721,0.8642,0.92657,0.74172,0.78746,0.58107,0.9373,0.0004456,0.0004456,0.0004456
114,27356.8,0.69515,0.64181,1.03501,0.92453,0.86576,0.93625,0.76177,0.75226,0.55398,0.92775,0.00044065,0.00044065,0.00044065
115,27414.7,0.69365,0.63942,1.03509,0.90681,0.87257,0.92964,0.76058,0.73026,0.56057,0.93013,0.0004357,0.0004357,0.0004357
116,27472.9,0.69233,0.63433,1.03409,0.91428,0.85789,0.92284,0.7374,0.81279,0.59932,0.9501,0.00043075,0.00043075,0.00043075
117,27532.3,0.68981,0.63271,1.03637,0.92038,0.86217,0.9255,0.73972,0.80033,0.58723,0.94541,0.0004258,0.0004258,0.0004258
118,27590.4,0.69037,0.63928,1.03434,0.89833,0.87701,0.93009,0.74426,0.79863,0.57616,0.94653,0.00042085,0.00042085,0.00042085
119,27648.8,0.68914,0.62886,1.03784,0.90019,0.86342,0.92557,0.76708,0.705,0.57224,0.92806,0.0004159,0.0004159,0.0004159
120,27706.9,0.69195,0.6241,1.0325,0.91755,0.86309,0.92777,0.75326,0.76549,0.58414,0.92662,0.00041095,0.00041095,0.00041095
121,27766.3,0.68533,0.6216,1.0327,0.91285,0.86174,0.92847,0.75004,0.76993,0.57403,0.92986,0.000406,0.000406,0.000406
122,27824.4,0.68002,0.62082,1.02957,0.92305,0.86092,0.93142,0.75372,0.76838,0.56853,0.92659,0.00040105,0.00040105,0.00040105
123,27882.7,0.68542,0.61775,1.03082,0.90587,0.86861,0.92341,0.72461,0.84813,0.60657,0.95075,0.0003961,0.0003961,0.0003961
124,27940.8,0.67455,0.61208,1.02791,0.91752,0.85624,0.92803,0.74514,0.78355,0.56628,0.93579,0.00039115,0.00039115,0.00039115
125,28000.3,0.68001,0.61236,1.02988,0.90967,0.87394,0.93315,0.73633,0.82874,0.57398,0.94629,0.0003862,0.0003862,0.0003862
126,28058.9,0.67473,0.60751,1.02716,0.91661,0.86342,0.92842,0.75521,0.76209,0.56888,0.93881,0.00038125,0.00038125,0.00038125
127,28117.3,0.67397,0.60901,1.03082,0.91148,0.87819,0.93583,0.74545,0.80662,0.56086,0.9482,0.0003763,0.0003763,0.0003763
128,28175.4,0.67737,0.60778,1.02607,0.92716,0.85398,0.93169,0.75787,0.74577,0.55414,0.92769,0.00037135,0.00037135,0.00037135
